unidade_orcamentaria;codigo_sigcon;codigo_uniao;codigo_plano_de_trabalho;codigo_siafi;sei;instrumento;titulo;proponente;concedente;esfera_concedente;objeto;situacao;tipo_de_contrapartida;data_assinatura;data_publicacao;inicio_vigencia;termino_vigencia;valor_proponente_r;valor_concedente_r;valor_total_convenio_r;fim_vigencia_inicial;inteiro_teor_do_instrumento_transferegov;inteiro_teor_do_instrumento_sigcon;ta_1;ta_2;ta_3;ta_4;ta_5;ta_6;ta_7;ta_8;ta_9;ta_10;ta_11;ta_12;ta_13;ta_16;ta_17;ta_20;ta_21;ta_22
1071;TE - 202544460005 - GMG;0;18097;9481207;1570.01.0000553/2025-92;Transferências Especiais;Transferência Especial - 202544460005 - Pedro Aihara - GMG;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTERIO DA FAZENDA;Federal;Aquisição de kits de defesa civil para o Gabinete Militar do Governador.;VIGENTE;Sem contrapartida;26/08/2025;26/08/2025;26/08/2025;01/01/2029;0,0;1188000,0;1188000,0;01/01/2029;;https://drive.google.com/file/d/1hbMfVcCh-1hSIszOkfhJgGy9kHIUkNQe/view;;;;;;;;;;;;;;;;;;
1071;PR 3703/2024;0;17254;9447103;1070.01.0004110/2024-82;Portaria;Portaria n° 3.703/2024 - Execução de ações de Defesa Civil;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Federal;Autorização de empenho e  transferência  de recursos ao Estado de Minas Gerais, no valor de R$1.635.036,80 (um milhão seiscentos e trinta e cinco mil e trinta e seis reais e oitenta centavos), para a execução de ações de  resposta de Defesa Civil, conforme processo n. 59052.029851/2024-57.;VENCIDO;Sem contrapartida;01/11/2024;08/11/2024;08/11/2024;07/11/2025;0,0;1635036,8;1635036,8;07/11/2025;;https://drive.google.com/file/d/1WewgKrjEzTN7nOmuA0JKh6ugFhAdjvM-/view;;;;;;;;;;;;;;;;;;
1071;PR 3702/2024;0;17251;9447092;1070.01.0004139/2024-75;Portaria;Portaria n° 3.702/2024 - Execução de ações de Defesa Civil;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Federal;Autorização de empenho e  transferência  de recursos ao Estado de Minas Gerais, no valor de 4.134.096,00 (quatro milhões, cento e trinta e quatro mil noventa e seis reais), para a execução de ações de  resposta de Defesa Civil , conforme processo n. 59052.028550/2024-14.;VENCIDO;Sem contrapartida;01/11/2024;08/11/2024;08/11/2024;07/11/2025;0,0;4134096,0;4134096,0;07/11/2025;;https://drive.google.com/file/d/1tULeaiKlqHwZ0iFUHt5nCNxUh1fzcsDI/view;;;;;;;;;;;;;;;;;;
1071;PR 3619/2022;0;14762;9372068;1070.01.0004303/2022-18;Portaria;Portaria n° 3.619/2022 - Execução de ações de Defesa Civil;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Federal;Autorização de empenho e  transferência  de recursos ao Estado de Minas Gerais, no valor de R$ 5.485.553,50 (cinco milhões, quatrocentos e oitenta e cinco mil quinhentos e cinquenta e três reais e cinquenta centavos), para a execução de ações de  resposta de Defesa Civil, conforme processo n° 59052.012637/2022-08.;VENCIDO;Sem contrapartida;19/12/2022;21/12/2022;21/12/2022;19/06/2023;0,0;5485553,5;5485553,5;19/06/2023;;;;;;;;;;;;;;;;;;;;
1071;PR 3331/2021;0;13788;9318789;1070.01.0004545/2021-83;Portaria;Execução de ações de resposta devido as chuvas em dezembro de 2021;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Federal;Autorização de empenho e o repasse de recursos ao Estado de Minas Gerais, no valor de R$ 903.366,00 (novecentos e tres mil, trezentos e sessenta e seis reais) para a execução de ações de resposta, conforme processo n. 59052.008378/2021-21.;VENCIDO;Sem contrapartida;23/12/2021;24/12/2021;23/12/2021;24/06/2022;0,0;903366,0;903366,0;24/06/2022;;;;;;;;;;;;;;;;;;;;
1071;PR 2448/2022;0;14496;9345638;1070.01.0002858/2022-39;Portaria;Portaria n° 2.448/2022 - Execução de ações de Defesa Civil;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Federal;Autorização de empenho e  transferência  de recursos ao Estado de Minas Gerais, no valor de R$ 9.000.000,00 (nove milhões), para a execução de ações de  resposta de Defesa Civil , conforme processo n. 59052.010969/2022-40.;VENCIDO;Sem contrapartida;29/07/2022;01/08/2022;01/08/2022;21/07/2024;0,0;9000000,0;9000000,0;28/01/2023;;;;https://drive.google.com/file/d/14GCNZOGi2pXwqrk6YoYtEtXi2DMnBr64/view;;;;;;;;;;;;;;;;
1071;PR 14/2022;0;13834;9319205;1070.01.0000034/2022-45;Portaria;Portaria nº 14/2022 - GMG x MDR;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Federal;Execução de ações de resposta, conforme processo n. 59052.008527/2021-52;VENCIDO;Sem contrapartida;03/01/2022;04/01/2022;04/01/2022;04/07/2022;0,0;9310000,0;9310000,0;04/07/2022;;;;;;;;;;;;;;;;;;;;
1071;AC 23.830/2021 - GMG;0;13316;9288147;1500.01.0113763/2021-47;Acordo/Ajuste;Acordo Judicial - Brumadinho - Córrego do Feijão: Convivência com a Seca - Construção de cisternas;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;VALE S.A.;Privada;Convivência com a Seca - Construção de cisternas.;VIGENTE;Sem contrapartida;28/07/2021;28/07/2021;28/07/2021;28/07/2026;0,0;14817323,0;14817323,0;28/07/2024;;;;;;;;;;;;;;;;;;;;
1071;AC 002/2026;0;18465;9493391;1500.01.0025888/2026-37;Acordo/Ajuste;Acordo judicial - Reparação relativa ao rompimento da barragem de Fundão - Disponibilização de acesso à água - Projeto GMG;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;SAMARCO MINERAÇÃO S.A.;Privada;Disponibilização de acesso à água;VIGENTE;Sem contrapartida;25/10/2024;06/12/2024;16/01/2026;06/12/2044;0,0;16609578,82;16609578,82;06/12/2044;;https://drive.google.com/file/d/1XBRLweJKmgrlPAs7dmnYFFvgw8Xl_C2v/view;;;;;;;;;;;;;;;;;;
1071;AC 001/2026;0;18451;9493230;1500.01.0006445/2026-34;Acordo/Ajuste;Acordo judicial - Reparação relativa ao rompimento da barragem de Fundão - Limpeza de vias e de infraestrutura pública - Projeto GMG;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;SAMARCO MINERAÇÃO S.A.;Privada;Limpeza de vias e de infraestrutura pública;VIGENTE;Sem contrapartida;25/10/2024;06/12/2024;08/01/2025;06/12/2044;0,0;12291807,84;12291807,84;06/12/2044;;https://drive.google.com/file/d/1wypT5HYPnuY08bhMY_hJBwb6Rd8m8PFL/view;;;;;;;;;;;;;;;;;;
